model,size,mean,median,min,max,std
Falcon,Small,83.96462459585172,86.00189435544561,37.51083551740809,99.46406792925117,10.909667672030984
Gemma,Small,86.44766193401881,87.59016384770335,51.67323155216863,100.0,7.977720638495417
Llama,Small,75.77455170254245,76.39031769487673,5.119195270646159,100.0,14.535395084264978
Qwen2,Small,83.02123157434504,84.63641488267763,12.355380463002248,99.69389359352635,11.047215342191118
Command,Medium,82.86776238164465,83.37158525590276,41.98534508901239,100.0,9.57478787509164
Llama,Medium,77.0643782774347,78.00911675995512,5.636819324090112,100.0,13.321166174647168
Mistral,Medium,80.76755203424568,82.21021956217874,30.880882732869168,98.90610752094655,10.806041750601816
Qwen,Medium,80.36355256550023,82.46355462546927,9.643002577316508,98.81292507471319,13.04675210305253
Deepseek,Large,82.63467554095973,84.1550942726233,28.735503889452303,99.31887687026241,10.8821951467886
GPT,Large,83.26737401479996,84.4653708277971,29.40773092353254,100.0,10.412185328334484
Gemini,Large,82.56304615804459,83.35282410192582,31.953591717393266,99.05189262613409,10.53275733957262
Llama,Large,79.55064798879425,80.1315054220673,13.382805558846911,100.0,11.951100040231626
Human,Human,89.14700036886305,91.25796958435137,20.455484588548572,100.0,8.042181577180955
