Filename,Model Size,Finetuning Data,Finetuning Data Size,Mean,Median,Variance,Std
ppl_lora_llama_70b_multi_medium.jsonl,70B,Multi-Source,Medium,2.480096018641811,1.2477800000000001,1800.9972873455515,42.43815838777116
ppl_lora_llama_70b_multi_large.jsonl,70B,Multi-Source,Large,1.5417145406125168,1.4221400000000002,0.7209185293009541,0.8490692134926069
ppl_lora_llama_70b_single_large.jsonl,70B,Single-Source,Large,1.2518932689747004,1.1702249999999998,0.6106621480563577,0.7814487494752024
ppl_vanilla_llama_70b.jsonl,70B,Vanilla (None),N/A,1.227870259653795,1.20135,0.021155728014246828,0.1454500877079379
ppl_lora_llama_70b_single_medium.jsonl,70B,Single-Source,Medium,1.2276557323568573,1.1453449999999998,0.6135288252885115,0.7832808087068848
ppl_lora_llama_70b_human.jsonl,70B,Human,N/A,1799.977345699068,2.2435549999999997,2632842323.6993585,51311.229995970265
ppl_lora_llama_70b_single_small.jsonl,70B,Single-Source,Small,1.353899813581891,1.264475,0.618375548552029,0.7863685831415375
ppl_lora_llama_70b_multi_small.jsonl,70B,Multi-Source,Small,1.5395571704394142,1.358615,0.8591307698928592,0.9268930736028074
ppl_lora_llama_8b_multi.jsonl,8B,Multi-Source,Small,1.458622809587217,1.3539349999999999,0.170119467897033,0.4124554132230937
ppl_lora_llama_8b_human.jsonl,8B,Human,N/A,3766.977717170441,2.5004600000000003,12211648516.797632,110506.32794911625
ppl_vanilla_llama_8b.jsonl,8B,Vanilla (None),N/A,1.380878155792277,1.2846950000000001,0.16860844875232459,0.41061959129141
ppl_lora_llama_8b_single.jsonl,8B,Single-Source,Small,1.2864693142476697,1.2548650000000001,0.03134892652449645,0.17705628066944265
