Filename,Model Size,Finetuning Data,Finetuning Data Size,Mean,Median,Variance,Std
ppl_lora_llama_70b_multi_medium.jsonl,70B,Multi-Source,Medium,1.2602146958981613,1.236055,0.020878781948528456,0.14449492014783238
ppl_lora_llama_70b_multi_large.jsonl,70B,Multi-Source,Large,1.4229295098039216,1.4124349999999999,0.05050986618729473,0.22474400144897022
ppl_lora_llama_70b_single_large.jsonl,70B,Single-Source,Large,1.1746606736842105,1.16481,0.008115527662423343,0.09008622348851872
ppl_vanilla_llama_70b.jsonl,70B,Vanilla (None),N/A,1.2037114265635982,1.19525,0.008905054068168711,0.09436659402653415
ppl_lora_llama_70b_single_medium.jsonl,70B,Single-Source,Medium,1.1484320113314448,1.137235,0.005525826984764744,0.07433590642996656
ppl_lora_llama_70b_human.jsonl,70B,Human,N/A,2.4095763589743586,2.08095,1.3251421670419077,1.1511481950825913
ppl_lora_llama_70b_single_small.jsonl,70B,Single-Source,Small,1.2686731575246133,1.25431,0.019036716485318364,0.13797360793035154
ppl_lora_llama_70b_multi_small.jsonl,70B,Multi-Source,Small,1.3833499928469244,1.34063,0.04991529949320453,0.22341732138132112
ppl_lora_llama_8b_multi.jsonl,8B,Multi-Source,Small,1.3762840200286122,1.33915,0.03967375828741591,0.1991827258760556
ppl_lora_llama_8b_human.jsonl,8B,Human,N/A,2.6841958788774,2.30742,2.0343262524524404,1.4262980938262662
ppl_vanilla_llama_8b.jsonl,8B,Vanilla (None),N/A,1.297655790229885,1.271415,0.028433474297076683,0.16862228291977513
ppl_lora_llama_8b_single.jsonl,8B,Single-Source,Small,1.2618979042331713,1.24721,0.015986386226280905,0.12643728178935557
